id,group,pdp_page,cta,actions
27817,control,old page,buy btn,view
626899,treatment,new page,order btn,click
27449,control,old page,buy btn,view
606151,treatment,new page,order btn,view
669130,treatment,new page,order btn,view
465836,treatment,new page,order btn,view
19941,control,old page,buy btn,view
664729,treatment,new page,order btn,view
583516,treatment,new page,order btn,view
13421,control,old page,buy btn,click
16859,control,old page,buy btn,view
43673,control,old page,buy btn,click
40051,control,old page,buy btn,view
619250,treatment,new page,order btn,view
469713,treatment,new page,order btn,view
22321,control,old page,buy btn,view
26552,control,old page,buy btn,view
441315,treatment,new page,order btn,click
677304,treatment,new page,order btn,view
45777,control,old page,buy btn,view
36981,control,old page,buy btn,click
637483,treatment,new page,order btn,view
564444,treatment,new page,order btn,view
22148,control,old page,buy btn,view
669759,treatment,new page,order btn,view
38740,control,old page,buy btn,view
30519,control,old page,buy btn,view
46352,control,old page,buy btn,view
19228,control,old page,buy btn,click
523785,treatment,new page,order btn,view
32416,control,old page,buy btn,view
26150,control,old page,buy btn,click
29955,control,old page,buy btn,view
578696,treatment,new page,order btn,view
37176,control,old page,buy btn,view
36831,control,old page,buy btn,view
540238,treatment,new page,order btn,view
591375,treatment,new page,order btn,click
34888,control,old page,buy btn,click
587708,treatment,new page,order btn,view
42868,control,old page,buy btn,click
549354,treatment,new page,order btn,view
45581,control,old page,buy btn,view
578381,treatment,new page,order btn,view
33784,control,old page,buy btn,click
24620,control,old page,buy btn,view
584669,treatment,new page,order btn,click
24597,control,old page,buy btn,click
641884,treatment,new page,order btn,view
604474,treatment,new page,order btn,view
509534,treatment,new page,order btn,view
24689,control,old page,buy btn,view
44006,control,old page,buy btn,view
33002,control,old page,buy btn,click
13157,control,old page,buy btn,view
14525,control,old page,buy btn,view
654564,treatment,new page,order btn,view
44569,control,old page,buy btn,view
38280,control,old page,buy btn,view
20987,control,old page,buy btn,view
44477,control,old page,buy btn,view
27656,control,old page,buy btn,click
41373,control,old page,buy btn,click
22539,control,old page,buy btn,view
37636,control,old page,buy btn,view
488366,treatment,new page,order btn,view
35084,control,old page,buy btn,click
27886,control,old page,buy btn,view
655822,treatment,new page,order btn,view
445402,treatment,new page,order btn,view
30852,control,old page,buy btn,click
18687,control,old page,buy btn,click
516660,treatment,new page,order btn,view
517288,treatment,new page,order btn,view
531226,treatment,new page,order btn,view
484070,treatment,new page,order btn,view
499998,treatment,new page,order btn,view
20412,control,old page,buy btn,view
31784,control,old page,buy btn,view
42465,control,old page,buy btn,click
24459,control,old page,buy btn,view
32531,control,old page,buy btn,view
530178,treatment,new page,order btn,view
639998,treatment,new page,order btn,view
28311,control,old page,buy btn,click
657813,treatment,new page,order btn,view
22355,control,old page,buy btn,click
16641,control,old page,buy btn,click
620088,treatment,new page,order btn,click
15640,control,old page,buy btn,view
563711,treatment,new page,order btn,click
648277,treatment,new page,order btn,view
23091,control,old page,buy btn,click
612857,treatment,new page,order btn,click
44397,control,old page,buy btn,click
33738,control,old page,buy btn,click
494025,treatment,new page,order btn,click
44328,control,old page,buy btn,view
586031,treatment,new page,order btn,view
37130,control,old page,buy btn,click
549669,treatment,new page,order btn,click
44201,control,old page,buy btn,view
13709,control,old page,buy btn,click
488471,treatment,new page,order btn,view
42810,control,old page,buy btn,click
31496,control,old page,buy btn,view
560462,treatment,new page,order btn,view
17089,control,old page,buy btn,view
527767,treatment,new page,order btn,view
532064,treatment,new page,order btn,view
43500,control,old page,buy btn,view
24241,control,old page,buy btn,view
17952,control,old page,buy btn,click
19826,control,old page,buy btn,view
18434,control,old page,buy btn,click
27863,control,old page,buy btn,view
543800,treatment,new page,order btn,click
20677,control,old page,buy btn,view
43638,control,old page,buy btn,click
26920,control,old page,buy btn,view
625223,treatment,new page,order btn,view
40948,control,old page,buy btn,view
480716,treatment,new page,order btn,view
583411,treatment,new page,order btn,view
14997,control,old page,buy btn,view
14560,control,old page,buy btn,view
623441,treatment,new page,order btn,view
13858,control,old page,buy btn,view
36969,control,old page,buy btn,click
40729,control,old page,buy btn,view
442573,treatment,new page,order btn,view
650792,treatment,new page,order btn,click
616211,treatment,new page,order btn,view
566435,treatment,new page,order btn,view
493082,treatment,new page,order btn,view
45190,control,old page,buy btn,click
20136,control,old page,buy btn,view
45880,control,old page,buy btn,view
544534,treatment,new page,order btn,view
37866,control,old page,buy btn,view
580372,treatment,new page,order btn,view
45340,control,old page,buy btn,view
676151,treatment,new page,order btn,view
38636,control,old page,buy btn,view
34486,control,old page,buy btn,view
577333,treatment,new page,order btn,click
28794,control,old page,buy btn,click
45363,control,old page,buy btn,view
607199,treatment,new page,order btn,click
529758,treatment,new page,order btn,click
595986,treatment,new page,order btn,view
20447,control,old page,buy btn,view
457872,treatment,new page,order btn,view
38016,control,old page,buy btn,view
508800,treatment,new page,order btn,click
40959,control,old page,buy btn,view
14617,control,old page,buy btn,view
19147,control,old page,buy btn,click
463950,treatment,new page,order btn,view
17342,control,old page,buy btn,view
33658,control,old page,buy btn,view
35969,control,old page,buy btn,view
30841,control,old page,buy btn,view
17434,control,old page,buy btn,view
15617,control,old page,buy btn,click
569265,treatment,new page,order btn,click
42431,control,old page,buy btn,click
463636,treatment,new page,order btn,view
553965,treatment,new page,order btn,view
46386,control,old page,buy btn,view
42270,control,old page,buy btn,view
459025,treatment,new page,order btn,click
632139,treatment,new page,order btn,click
537827,treatment,new page,order btn,view
489414,treatment,new page,order btn,view
45903,control,old page,buy btn,view
16066,control,old page,buy btn,view
37429,control,old page,buy btn,click
35532,control,old page,buy btn,view
18814,control,old page,buy btn,click
34773,control,old page,buy btn,click
43247,control,old page,buy btn,view
46789,control,old page,buy btn,click
18791,control,old page,buy btn,view
439953,treatment,new page,order btn,view
524309,treatment,new page,order btn,view
17043,control,old page,buy btn,view
14008,control,old page,buy btn,click
44144,control,old page,buy btn,view
38866,control,old page,buy btn,view
35992,control,old page,buy btn,view
632558,treatment,new page,order btn,view
14433,control,old page,buy btn,view
449384,treatment,new page,order btn,click
547887,treatment,new page,order btn,view
17193,control,old page,buy btn,view
463112,treatment,new page,order btn,view
667349,treatment,new page,order btn,click
27460,control,old page,buy btn,view
43891,control,old page,buy btn,view
487737,treatment,new page,order btn,view
34175,control,old page,buy btn,view
33462,control,old page,buy btn,view
31508,control,old page,buy btn,view
641360,treatment,new page,order btn,view
30542,control,old page,buy btn,view
40350,control,old page,buy btn,view
29737,control,old page,buy btn,view
46122,control,old page,buy btn,view
566750,treatment,new page,order btn,view
32680,control,old page,buy btn,click
656660,treatment,new page,order btn,view
497588,treatment,new page,order btn,click
510267,treatment,new page,order btn,view
46030,control,old page,buy btn,view
17273,control,old page,buy btn,view
35520,control,old page,buy btn,view
634654,treatment,new page,order btn,click
568531,treatment,new page,order btn,view
30473,control,old page,buy btn,click
17158,control,old page,buy btn,view
619354,treatment,new page,order btn,click
600806,treatment,new page,order btn,view
17400,control,old page,buy btn,click
41936,control,old page,buy btn,click
16963,control,old page,buy btn,view
670492,treatment,new page,order btn,view
670807,treatment,new page,order btn,click
25000,control,old page,buy btn,view
25195,control,old page,buy btn,view
31910,control,old page,buy btn,view
29208,control,old page,buy btn,view
510163,treatment,new page,order btn,view
485956,treatment,new page,order btn,click
490462,treatment,new page,order btn,view
455986,treatment,new page,order btn,click
29829,control,old page,buy btn,view
581944,treatment,new page,order btn,click
509220,treatment,new page,order btn,view
533321,treatment,new page,order btn,view
37119,control,old page,buy btn,click
505657,treatment,new page,order btn,view
24206,control,old page,buy btn,view
568007,treatment,new page,order btn,view
443621,treatment,new page,order btn,view
24655,control,old page,buy btn,view
653516,treatment,new page,order btn,view
669864,treatment,new page,order btn,view
637588,treatment,new page,order btn,view
494234,treatment,new page,order btn,view
673950,treatment,new page,order btn,view
661166,treatment,new page,order btn,view
573875,treatment,new page,order btn,click
22332,control,old page,buy btn,view
33968,control,old page,buy btn,view
15468,control,old page,buy btn,click
41637,control,old page,buy btn,view
35647,control,old page,buy btn,view
506600,treatment,new page,order btn,click
558471,treatment,new page,order btn,view
27713,control,old page,buy btn,view
39614,control,old page,buy btn,click
12881,control,old page,buy btn,view
495492,treatment,new page,order btn,view
450327,treatment,new page,order btn,click
24160,control,old page,buy btn,view
26989,control,old page,buy btn,view
25080,control,old page,buy btn,view
36429,control,old page,buy btn,click
26207,control,old page,buy btn,click
667872,treatment,new page,order btn,view
44224,control,old page,buy btn,view
13249,control,old page,buy btn,view
19527,control,old page,buy btn,view
523052,treatment,new page,order btn,view
25161,control,old page,buy btn,view
27334,control,old page,buy btn,view
583097,treatment,new page,order btn,view
540866,treatment,new page,order btn,view
30530,control,old page,buy btn,view
464788,treatment,new page,order btn,click
35796,control,old page,buy btn,view
41580,control,old page,buy btn,view
32519,control,old page,buy btn,click
16411,control,old page,buy btn,view
629729,treatment,new page,order btn,view
32703,control,old page,buy btn,view
26334,control,old page,buy btn,click
573666,treatment,new page,order btn,view
27690,control,old page,buy btn,view
27575,control,old page,buy btn,view
27518,control,old page,buy btn,view
25839,control,old page,buy btn,view
21550,control,old page,buy btn,view
673636,treatment,new page,order btn,click
544324,treatment,new page,order btn,view
593366,treatment,new page,order btn,view
35164,control,old page,buy btn,view
39338,control,old page,buy btn,click
626585,treatment,new page,order btn,view
461435,treatment,new page,order btn,view
34371,control,old page,buy btn,view
498950,treatment,new page,order btn,view
41063,control,old page,buy btn,view
670283,treatment,new page,order btn,click
14663,control,old page,buy btn,view
444668,treatment,new page,order btn,click
38970,control,old page,buy btn,view
25920,control,old page,buy btn,view
42845,control,old page,buy btn,click
28392,control,old page,buy btn,view
13720,control,old page,buy btn,view
45788,control,old page,buy btn,view
44098,control,old page,buy btn,view
18929,control,old page,buy btn,view
28173,control,old page,buy btn,click
437124,treatment,new page,order btn,click
43362,control,old page,buy btn,view
488890,treatment,new page,order btn,view
35762,control,old page,buy btn,view
456824,treatment,new page,order btn,view
23586,control,old page,buy btn,view
28104,control,old page,buy btn,view
611286,treatment,new page,order btn,click
520432,treatment,new page,order btn,view
668711,treatment,new page,order btn,click
38337,control,old page,buy btn,view
27506,control,old page,buy btn,click
490776,treatment,new page,order btn,view
530702,treatment,new page,order btn,click
510477,treatment,new page,order btn,view
512154,treatment,new page,order btn,view
29300,control,old page,buy btn,view
496121,treatment,new page,order btn,view
32313,control,old page,buy btn,view
41557,control,old page,buy btn,view
21596,control,old page,buy btn,click
610028,treatment,new page,order btn,click
509010,treatment,new page,order btn,click
35923,control,old page,buy btn,click
539504,treatment,new page,order btn,view
18745,control,old page,buy btn,view
33761,control,old page,buy btn,view
45029,control,old page,buy btn,view
599759,treatment,new page,order btn,view
14456,control,old page,buy btn,view
573351,treatment,new page,order btn,view
31335,control,old page,buy btn,view
22551,control,old page,buy btn,view
35693,control,old page,buy btn,view
31565,control,old page,buy btn,view
44535,control,old page,buy btn,click
39361,control,old page,buy btn,view
43857,control,old page,buy btn,click
586765,treatment,new page,order btn,view
475477,treatment,new page,order btn,view
22597,control,old page,buy btn,view
43144,control,old page,buy btn,view
23310,control,old page,buy btn,view
450013,treatment,new page,order btn,click
23976,control,old page,buy btn,view
32577,control,old page,buy btn,view
638531,treatment,new page,order btn,view
36774,control,old page,buy btn,click
30404,control,old page,buy btn,view
35015,control,old page,buy btn,click
539714,treatment,new page,order btn,view
35842,control,old page,buy btn,view
522318,treatment,new page,order btn,click
25333,control,old page,buy btn,view
644295,treatment,new page,order btn,view
461225,treatment,new page,order btn,click
675522,treatment,new page,order btn,view
663366,treatment,new page,order btn,view
17894,control,old page,buy btn,view
20527,control,old page,buy btn,view
37556,control,old page,buy btn,view
546420,treatment,new page,order btn,view
18733,control,old page,buy btn,view
566016,treatment,new page,order btn,view
610238,treatment,new page,order btn,view
19412,control,old page,buy btn,view
44776,control,old page,buy btn,click
20826,control,old page,buy btn,view
24149,control,old page,buy btn,view
45938,control,old page,buy btn,view
517917,treatment,new page,order btn,view
33474,control,old page,buy btn,view
21355,control,old page,buy btn,view
586555,treatment,new page,order btn,view
41626,control,old page,buy btn,click
15744,control,old page,buy btn,view
15227,control,old page,buy btn,view
647962,treatment,new page,order btn,click
24413,control,old page,buy btn,view
29645,control,old page,buy btn,click
45202,control,old page,buy btn,view
34647,control,old page,buy btn,view
559938,treatment,new page,order btn,view
37774,control,old page,buy btn,view
573456,treatment,new page,order btn,view
442992,treatment,new page,order btn,view
543905,treatment,new page,order btn,view
22298,control,old page,buy btn,view
612333,treatment,new page,order btn,click
25241,control,old page,buy btn,view
14123,control,old page,buy btn,click
505028,treatment,new page,order btn,view
473695,treatment,new page,order btn,click
19297,control,old page,buy btn,view
26770,control,old page,buy btn,view
523890,treatment,new page,order btn,click
558366,treatment,new page,order btn,view
29714,control,old page,buy btn,view
27000,control,old page,buy btn,view
34808,control,old page,buy btn,view
22183,control,old page,buy btn,view
16077,control,old page,buy btn,view
36797,control,old page,buy btn,click
44132,control,old page,buy btn,view
46041,control,old page,buy btn,view
33094,control,old page,buy btn,view
25092,control,old page,buy btn,view
16790,control,old page,buy btn,view
470971,treatment,new page,order btn,view
20700,control,old page,buy btn,view
25046,control,old page,buy btn,view
588127,treatment,new page,order btn,click
455148,treatment,new page,order btn,view
27782,control,old page,buy btn,view
13099,control,old page,buy btn,view
644923,treatment,new page,order btn,view
14238,control,old page,buy btn,view
572513,treatment,new page,order btn,view
631510,treatment,new page,order btn,view
14111,control,old page,buy btn,view
484803,treatment,new page,order btn,view
625432,treatment,new page,order btn,view
20711,control,old page,buy btn,view
493606,treatment,new page,order btn,view
470028,treatment,new page,order btn,view
635492,treatment,new page,order btn,view
32163,control,old page,buy btn,view
522423,treatment,new page,order btn,view
568217,treatment,new page,order btn,view
493291,treatment,new page,order btn,view
553546,treatment,new page,order btn,view
17561,control,old page,buy btn,click
32864,control,old page,buy btn,click
631825,treatment,new page,order btn,click
12467,control,old page,buy btn,view
40752,control,old page,buy btn,view
577438,treatment,new page,order btn,view
455672,treatment,new page,order btn,view
20780,control,old page,buy btn,view
31991,control,old page,buy btn,click
557423,treatment,new page,order btn,view
616735,treatment,new page,order btn,view
514773,treatment,new page,order btn,view
526824,treatment,new page,order btn,view
31278,control,old page,buy btn,click
491405,treatment,new page,order btn,view
467827,treatment,new page,order btn,view
41097,control,old page,buy btn,view
18584,control,old page,buy btn,click
23218,control,old page,buy btn,click
29254,control,old page,buy btn,view
29656,control,old page,buy btn,view
634444,treatment,new page,order btn,view
448546,treatment,new page,order btn,view
468770,treatment,new page,order btn,click
643247,treatment,new page,order btn,view
488157,treatment,new page,order btn,click
23885,control,old page,buy btn,click
545267,treatment,new page,order btn,view
12524,control,old page,buy btn,view
478725,treatment,new page,order btn,click
24425,control,old page,buy btn,view
36268,control,old page,buy btn,view
611181,treatment,new page,order btn,view
14364,control,old page,buy btn,view
636226,treatment,new page,order btn,view
632453,treatment,new page,order btn,view
28967,control,old page,buy btn,click
584878,treatment,new page,order btn,view
445926,treatment,new page,order btn,view
451689,treatment,new page,order btn,view
28139,control,old page,buy btn,click
503456,treatment,new page,order btn,view
13525,control,old page,buy btn,view
35176,control,old page,buy btn,click
21780,control,old page,buy btn,view
24114,control,old page,buy btn,view
497169,treatment,new page,order btn,view
604579,treatment,new page,order btn,click
33428,control,old page,buy btn,click
27771,control,old page,buy btn,view
442258,treatment,new page,order btn,view
492663,treatment,new page,order btn,view
512573,treatment,new page,order btn,view
470447,treatment,new page,order btn,view
672169,treatment,new page,order btn,view
22574,control,old page,buy btn,view
675208,treatment,new page,order btn,click
18998,control,old page,buy btn,view
516555,treatment,new page,order btn,view
35589,control,old page,buy btn,view
664624,treatment,new page,order btn,view
20953,control,old page,buy btn,view
450537,treatment,new page,order btn,view
41200,control,old page,buy btn,view
556585,treatment,new page,order btn,click
546315,treatment,new page,order btn,view
664519,treatment,new page,order btn,view
471704,treatment,new page,order btn,click
43431,control,old page,buy btn,click
35555,control,old page,buy btn,view
500836,treatment,new page,order btn,view
574504,treatment,new page,order btn,view
29116,control,old page,buy btn,view
627109,treatment,new page,order btn,view
33945,control,old page,buy btn,click
37084,control,old page,buy btn,view
26702,control,old page,buy btn,click
44891,control,old page,buy btn,click
586869,treatment,new page,order btn,view
622603,treatment,new page,order btn,view
39579,control,old page,buy btn,click
20930,control,old page,buy btn,view
576914,treatment,new page,order btn,view
29553,control,old page,buy btn,click
572827,treatment,new page,order btn,view
440372,treatment,new page,order btn,view
557318,treatment,new page,order btn,view
24862,control,old page,buy btn,view
36716,control,old page,buy btn,view
489309,treatment,new page,order btn,click
17147,control,old page,buy btn,view
44638,control,old page,buy btn,click
45179,control,old page,buy btn,view
662319,treatment,new page,order btn,view
13904,control,old page,buy btn,view
17929,control,old page,buy btn,view
33382,control,old page,buy btn,view
23620,control,old page,buy btn,view
453890,treatment,new page,order btn,view
521166,treatment,new page,order btn,view
13824,control,old page,buy btn,click
625642,treatment,new page,order btn,view
37602,control,old page,buy btn,view
23632,control,old page,buy btn,click
538142,treatment,new page,order btn,click
35888,control,old page,buy btn,view
590642,treatment,new page,order btn,view
39924,control,old page,buy btn,view
502408,treatment,new page,order btn,view
26380,control,old page,buy btn,view
14640,control,old page,buy btn,view
621765,treatment,new page,order btn,view
515402,treatment,new page,order btn,view
45110,control,old page,buy btn,click
25230,control,old page,buy btn,click
43190,control,old page,buy btn,view
46202,control,old page,buy btn,view
43581,control,old page,buy btn,view
18331,control,old page,buy btn,view
583830,treatment,new page,order btn,click
668187,treatment,new page,order btn,view
14318,control,old page,buy btn,click
36072,control,old page,buy btn,view
574399,treatment,new page,order btn,click
537199,treatment,new page,order btn,view
36141,control,old page,buy btn,view
661061,treatment,new page,order btn,view
45731,control,old page,buy btn,view
639579,treatment,new page,order btn,click
440791,treatment,new page,order btn,view
25586,control,old page,buy btn,click
660013,treatment,new page,order btn,view
650372,treatment,new page,order btn,click
640941,treatment,new page,order btn,view
549878,treatment,new page,order btn,click
473905,treatment,new page,order btn,view
445821,treatment,new page,order btn,view
28932,control,old page,buy btn,view
536465,treatment,new page,order btn,click
46432,control,old page,buy btn,view
35072,control,old page,buy btn,click
20217,control,old page,buy btn,view
645343,treatment,new page,order btn,click
35417,control,old page,buy btn,click
25506,control,old page,buy btn,view
38590,control,old page,buy btn,view
33451,control,old page,buy btn,view
27069,control,old page,buy btn,click
15089,control,old page,buy btn,view
16020,control,old page,buy btn,view
33209,control,old page,buy btn,view
664834,treatment,new page,order btn,view
542857,treatment,new page,order btn,view
446974,treatment,new page,order btn,view
500627,treatment,new page,order btn,view
624489,treatment,new page,order btn,view
18963,control,old page,buy btn,view
553336,treatment,new page,order btn,view
31841,control,old page,buy btn,view
622498,treatment,new page,order btn,view
662528,treatment,new page,order btn,view
601435,treatment,new page,order btn,view
507124,treatment,new page,order btn,view
32841,control,old page,buy btn,view
601645,treatment,new page,order btn,view
480297,treatment,new page,order btn,view
28035,control,old page,buy btn,click
610971,treatment,new page,order btn,view
27897,control,old page,buy btn,view
27840,control,old page,buy btn,click
45570,control,old page,buy btn,click
46294,control,old page,buy btn,click
38188,control,old page,buy btn,view
638322,treatment,new page,order btn,view
39395,control,old page,buy btn,view
34957,control,old page,buy btn,view
639369,treatment,new page,order btn,view
569369,treatment,new page,order btn,view
39821,control,old page,buy btn,view
541390,treatment,new page,order btn,click
660852,treatment,new page,order btn,view
26173,control,old page,buy btn,view
26161,control,old page,buy btn,view
508905,treatment,new page,order btn,view
523681,treatment,new page,order btn,click
537513,treatment,new page,order btn,click
23298,control,old page,buy btn,view
29507,control,old page,buy btn,view
503561,treatment,new page,order btn,view
525043,treatment,new page,order btn,click
22976,control,old page,buy btn,view
38372,control,old page,buy btn,click
553441,treatment,new page,order btn,view
557947,treatment,new page,order btn,view
581420,treatment,new page,order btn,view
439115,treatment,new page,order btn,view
671959,treatment,new page,order btn,click
41338,control,old page,buy btn,click
37648,control,old page,buy btn,click
29346,control,old page,buy btn,click
25609,control,old page,buy btn,view
594729,treatment,new page,order btn,click
491091,treatment,new page,order btn,view
461959,treatment,new page,order btn,view
467198,treatment,new page,order btn,view
16468,control,old page,buy btn,view
29024,control,old page,buy btn,view
559205,treatment,new page,order btn,view
41821,control,old page,buy btn,view
505342,treatment,new page,order btn,view
13214,control,old page,buy btn,view
440058,treatment,new page,order btn,view
23609,control,old page,buy btn,view
37452,control,old page,buy btn,click
17779,control,old page,buy btn,view
30691,control,old page,buy btn,view
30496,control,old page,buy btn,click
20516,control,old page,buy btn,view
525148,treatment,new page,order btn,click
487423,treatment,new page,order btn,view
25667,control,old page,buy btn,view
37958,control,old page,buy btn,view
30553,control,old page,buy btn,view
40545,control,old page,buy btn,click
611914,treatment,new page,order btn,click
523366,treatment,new page,order btn,view
494968,treatment,new page,order btn,view
41614,control,old page,buy btn,view
32634,control,old page,buy btn,view
16399,control,old page,buy btn,view
593576,treatment,new page,order btn,click
31830,control,old page,buy btn,view
657289,treatment,new page,order btn,view
39269,control,old page,buy btn,view
454728,treatment,new page,order btn,view
17607,control,old page,buy btn,view
40028,control,old page,buy btn,view
28047,control,old page,buy btn,view
596510,treatment,new page,order btn,view
529339,treatment,new page,order btn,view
499264,treatment,new page,order btn,view
37924,control,old page,buy btn,click
438381,treatment,new page,order btn,click
597558,treatment,new page,order btn,view
32244,control,old page,buy btn,view
14548,control,old page,buy btn,click
42971,control,old page,buy btn,click
540657,treatment,new page,order btn,click
36578,control,old page,buy btn,click
16537,control,old page,buy btn,click
662109,treatment,new page,order btn,view
34992,control,old page,buy btn,view
17526,control,old page,buy btn,click
626375,treatment,new page,order btn,click
644504,treatment,new page,order btn,view
487318,treatment,new page,order btn,view
464998,treatment,new page,order btn,view
460073,treatment,new page,order btn,view
25023,control,old page,buy btn,click
29668,control,old page,buy btn,view
447707,treatment,new page,order btn,click
665043,treatment,new page,order btn,view
13203,control,old page,buy btn,click
623651,treatment,new page,order btn,view
444878,treatment,new page,order btn,click
15824,control,old page,buy btn,view
33554,control,old page,buy btn,view
572303,treatment,new page,order btn,view
549040,treatment,new page,order btn,view
37199,control,old page,buy btn,view
587079,treatment,new page,order btn,view
489205,treatment,new page,order btn,view
454100,treatment,new page,order btn,click
472543,treatment,new page,order btn,view
22804,control,old page,buy btn,view
45432,control,old page,buy btn,view
17572,control,old page,buy btn,view
618935,treatment,new page,order btn,click
32037,control,old page,buy btn,view
17204,control,old page,buy btn,click
40223,control,old page,buy btn,view
45121,control,old page,buy btn,view
552603,treatment,new page,order btn,view
29128,control,old page,buy btn,view
22585,control,old page,buy btn,click
42339,control,old page,buy btn,view
13766,control,old page,buy btn,view
42626,control,old page,buy btn,view
22735,control,old page,buy btn,view
40626,control,old page,buy btn,view
597244,treatment,new page,order btn,view
25034,control,old page,buy btn,view
533950,treatment,new page,order btn,view
35497,control,old page,buy btn,click
505866,treatment,new page,order btn,click
29519,control,old page,buy btn,view
43029,control,old page,buy btn,click
35268,control,old page,buy btn,view
39303,control,old page,buy btn,click
621555,treatment,new page,order btn,view
464055,treatment,new page,order btn,click
36026,control,old page,buy btn,view
24379,control,old page,buy btn,view
607513,treatment,new page,order btn,view
45052,control,old page,buy btn,view
448336,treatment,new page,order btn,view
502618,treatment,new page,order btn,click
22079,control,old page,buy btn,view
25977,control,old page,buy btn,view
566645,treatment,new page,order btn,click
34739,control,old page,buy btn,view
547573,treatment,new page,order btn,click
543276,treatment,new page,order btn,view
638217,treatment,new page,order btn,view
513516,treatment,new page,order btn,view
567902,treatment,new page,order btn,view
481136,treatment,new page,order btn,view
521794,treatment,new page,order btn,view
618307,treatment,new page,order btn,view
35463,control,old page,buy btn,view
499369,treatment,new page,order btn,view
27943,control,old page,buy btn,view
655926,treatment,new page,order btn,view
44420,control,old page,buy btn,click
595567,treatment,new page,order btn,view
26667,control,old page,buy btn,click
23344,control,old page,buy btn,view
40856,control,old page,buy btn,click
585193,treatment,new page,order btn,click
666929,treatment,new page,order btn,view
40281,control,old page,buy btn,click
43339,control,old page,buy btn,view
14146,control,old page,buy btn,view
493920,treatment,new page,order btn,view
641989,treatment,new page,order btn,view
40108,control,old page,buy btn,view
40097,control,old page,buy btn,click
21378,control,old page,buy btn,view
653831,treatment,new page,order btn,view
20757,control,old page,buy btn,view
21159,control,old page,buy btn,click
494444,treatment,new page,order btn,view
22758,control,old page,buy btn,view
449908,treatment,new page,order btn,click
589699,treatment,new page,order btn,click
36187,control,old page,buy btn,view
28806,control,old page,buy btn,view
571779,treatment,new page,order btn,view
44075,control,old page,buy btn,view
27092,control,old page,buy btn,click
20573,control,old page,buy btn,view
34440,control,old page,buy btn,view
36394,control,old page,buy btn,click
34313,control,old page,buy btn,view
26518,control,old page,buy btn,view
17641,control,old page,buy btn,view
22861,control,old page,buy btn,view
451794,treatment,new page,order btn,view
29588,control,old page,buy btn,view
581315,treatment,new page,order btn,view
41649,control,old page,buy btn,view
461645,treatment,new page,order btn,view
476315,treatment,new page,order btn,view
436076,treatment,new page,order btn,view
495911,treatment,new page,order btn,view
550717,treatment,new page,order btn,click
35658,control,old page,buy btn,view
33646,control,old page,buy btn,view
515926,treatment,new page,order btn,view
18492,control,old page,buy btn,view
19366,control,old page,buy btn,click
575971,treatment,new page,order btn,view
617783,treatment,new page,order btn,view
35819,control,old page,buy btn,view
34221,control,old page,buy btn,view
640208,treatment,new page,order btn,view
638636,treatment,new page,order btn,view
31623,control,old page,buy btn,click
27311,control,old page,buy btn,view
33025,control,old page,buy btn,click
16215,control,old page,buy btn,view
38234,control,old page,buy btn,view
32336,control,old page,buy btn,click
651525,treatment,new page,order btn,click
22033,control,old page,buy btn,view
656346,treatment,new page,order btn,view
525672,treatment,new page,order btn,view
441944,treatment,new page,order btn,view
446764,treatment,new page,order btn,view
20550,control,old page,buy btn,click
618411,treatment,new page,order btn,view
36279,control,old page,buy btn,view
24275,control,old page,buy btn,click
22608,control,old page,buy btn,view
21815,control,old page,buy btn,view
517079,treatment,new page,order btn,view
42316,control,old page,buy btn,view
481031,treatment,new page,order btn,view
32554,control,old page,buy btn,view
528815,treatment,new page,order btn,view
554175,treatment,new page,order btn,click
566226,treatment,new page,order btn,view
43259,control,old page,buy btn,view
40994,control,old page,buy btn,view
524729,treatment,new page,order btn,view
19964,control,old page,buy btn,view
658337,treatment,new page,order btn,click
537408,treatment,new page,order btn,click
463321,treatment,new page,order btn,view
21079,control,old page,buy btn,view
27437,control,old page,buy btn,click
40695,control,old page,buy btn,view
468980,treatment,new page,order btn,view
26644,control,old page,buy btn,view
504085,treatment,new page,order btn,click
473591,treatment,new page,order btn,view
438695,treatment,new page,order btn,view
27196,control,old page,buy btn,click
18526,control,old page,buy btn,view
15043,control,old page,buy btn,view
22068,control,old page,buy btn,click
589803,treatment,new page,order btn,view
19481,control,old page,buy btn,view
21148,control,old page,buy btn,click
483965,treatment,new page,order btn,click
562768,treatment,new page,order btn,click
35635,control,old page,buy btn,view
477992,treatment,new page,order btn,view
525252,treatment,new page,order btn,view
635597,treatment,new page,order btn,view
631405,treatment,new page,order btn,view
569160,treatment,new page,order btn,view
543172,treatment,new page,order btn,view
41396,control,old page,buy btn,view
38108,control,old page,buy btn,view
672378,treatment,new page,order btn,click
600597,treatment,new page,order btn,view
27483,control,old page,buy btn,view
40154,control,old page,buy btn,view
621136,treatment,new page,order btn,click
22263,control,old page,buy btn,click
30933,control,old page,buy btn,click
23965,control,old page,buy btn,view
25379,control,old page,buy btn,view
17687,control,old page,buy btn,click
20205,control,old page,buy btn,view
28840,control,old page,buy btn,view
507962,treatment,new page,order btn,view
20895,control,old page,buy btn,view
34152,control,old page,buy btn,view
527453,treatment,new page,order btn,click
33221,control,old page,buy btn,view
35153,control,old page,buy btn,view
447603,treatment,new page,order btn,view
473800,treatment,new page,order btn,click
641570,treatment,new page,order btn,view
15675,control,old page,buy btn,click
24643,control,old page,buy btn,view
