id,group,page,actions
14540,control,old page,view
14792,control,old page,view
15417,control,old page,view
14761,control,old page,click
17993,treatment,new page,click
13239,control,old page,view
14143,control,old page,click
15239,control,old page,view
18244,treatment,new page,click
13763,control,old page,view
15356,control,old page,view
15058,control,old page,view
16901,treatment,new page,view
18017,treatment,new page,click
14694,control,old page,view
18401,treatment,new page,view
14395,control,old page,view
14049,control,old page,click
12888,control,old page,click
16886,treatment,new page,view
15615,control,old page,view
18001,treatment,new page,view
13969,control,old page,view
17299,treatment,new page,view
15700,control,old page,view
17201,treatment,new page,view
14056,control,old page,click
14777,control,old page,view
17817,treatment,new page,view
14151,control,old page,view
18257,treatment,new page,view
18256,treatment,new page,view
15302,control,old page,view
18395,treatment,new page,view
15197,control,old page,view
18589,treatment,new page,view
18690,treatment,new page,view
14143,control,old page,view
15644,control,old page,view
14608,control,old page,click
12956,control,old page,view
13532,control,old page,click
15063,control,old page,view
16917,treatment,new page,click
14321,control,old page,view
13215,control,old page,view
17037,treatment,new page,view
18131,treatment,new page,view
13376,control,old page,view
12978,control,old page,view
17486,treatment,new page,view
15062,control,old page,view
15562,control,old page,view
14403,control,old page,view
13334,control,old page,view
18624,treatment,new page,click
14944,control,old page,view
18190,treatment,new page,view
18656,treatment,new page,view
18564,treatment,new page,click
17071,treatment,new page,view
15106,control,old page,click
18129,treatment,new page,view
17794,treatment,new page,view
17122,treatment,new page,view
13128,control,old page,view
18044,treatment,new page,view
18484,treatment,new page,view
13187,control,old page,view
17589,treatment,new page,click
17583,treatment,new page,view
17418,treatment,new page,view
17716,treatment,new page,view
17693,treatment,new page,view
13630,control,old page,click
15712,control,old page,view
18020,treatment,new page,view
18249,treatment,new page,view
17090,treatment,new page,click
14753,control,old page,view
15460,control,old page,view
15323,control,old page,click
18570,treatment,new page,click
15276,control,old page,view
17911,treatment,new page,view
17596,treatment,new page,view
17041,treatment,new page,view
13921,control,old page,click
17415,treatment,new page,view
14449,control,old page,click
13609,control,old page,view
17681,treatment,new page,view
18319,treatment,new page,view
17169,treatment,new page,click
18278,treatment,new page,view
17036,treatment,new page,click
13628,control,old page,click
12922,control,old page,view
15022,control,old page,click
15286,control,old page,view
17035,treatment,new page,view
14831,control,old page,view
12945,control,old page,view
17587,treatment,new page,click
17935,treatment,new page,view
17831,treatment,new page,view
18249,treatment,new page,click
13269,control,old page,view
15368,control,old page,view
13528,control,old page,view
14248,control,old page,view
15742,control,old page,view
13703,control,old page,view
17770,treatment,new page,view
17521,treatment,new page,view
12969,control,old page,view
14433,control,old page,view
18589,treatment,new page,view
18142,treatment,new page,view
13213,control,old page,click
13378,control,old page,view
18505,treatment,new page,view
13252,control,old page,view
15694,control,old page,view
15720,control,old page,view
17042,treatment,new page,view
18350,treatment,new page,view
14867,control,old page,view
17082,treatment,new page,view
15081,control,old page,view
17262,treatment,new page,view
17356,treatment,new page,view
18215,treatment,new page,view
18530,treatment,new page,view
14044,control,old page,view
18114,treatment,new page,click
17120,treatment,new page,view
12962,control,old page,view
18309,treatment,new page,view
18534,treatment,new page,view
17044,treatment,new page,view
17859,treatment,new page,click
14760,control,old page,view
13886,control,old page,view
13938,control,old page,view
17464,treatment,new page,view
17134,treatment,new page,click
17319,treatment,new page,click
15575,control,old page,view
13259,control,old page,view
17457,treatment,new page,view
17121,treatment,new page,view
18332,treatment,new page,click
14275,control,old page,view
15061,control,old page,click
17859,treatment,new page,view
13558,control,old page,view
14907,control,old page,view
18030,treatment,new page,click
14755,control,old page,view
13289,control,old page,view
14036,control,old page,view
18148,treatment,new page,view
17819,treatment,new page,click
18220,treatment,new page,click
18361,treatment,new page,view
13353,control,old page,view
14858,control,old page,view
17745,treatment,new page,click
14470,control,old page,view
13006,control,old page,view
17190,treatment,new page,click
18199,treatment,new page,view
17949,treatment,new page,view
17028,treatment,new page,view
18413,treatment,new page,click
17355,treatment,new page,click
14595,control,old page,click
18077,treatment,new page,view
13527,control,old page,click
16995,treatment,new page,view
13387,control,old page,click
13538,control,old page,view
18247,treatment,new page,click
14619,control,old page,view
18180,treatment,new page,view
17882,treatment,new page,view
14262,control,old page,click
15631,control,old page,view
12945,control,old page,click
18583,treatment,new page,click
13027,control,old page,view
15692,control,old page,view
13903,control,old page,view
17125,treatment,new page,view
17363,treatment,new page,view
17114,treatment,new page,view
17021,treatment,new page,view
15360,control,old page,view
13670,control,old page,click
14792,control,old page,view
15487,control,old page,click
18047,treatment,new page,view
17365,treatment,new page,click
17952,treatment,new page,view
16944,treatment,new page,view
18304,treatment,new page,view
14162,control,old page,view
17361,treatment,new page,click
15110,control,old page,click
13839,control,old page,view
13646,control,old page,view
15141,control,old page,view
15492,control,old page,view
15725,control,old page,view
14336,control,old page,view
13216,control,old page,view
18235,treatment,new page,view
13911,control,old page,view
14367,control,old page,click
16894,treatment,new page,view
18648,treatment,new page,view
17707,treatment,new page,view
14796,control,old page,view
18260,treatment,new page,view
14336,control,old page,view
17941,treatment,new page,view
17233,treatment,new page,view
14601,control,old page,view
18288,treatment,new page,view
14385,control,old page,view
13467,control,old page,view
14629,control,old page,click
12961,control,old page,view
17059,treatment,new page,view
14978,control,old page,view
14223,control,old page,view
13146,control,old page,view
13522,control,old page,view
18648,treatment,new page,view
13614,control,old page,click
17738,treatment,new page,view
14104,control,old page,view
14242,control,old page,view
17112,treatment,new page,view
17585,treatment,new page,view
15422,control,old page,view
14653,control,old page,view
13500,control,old page,view
14106,control,old page,view
14034,control,old page,click
17147,treatment,new page,view
15652,control,old page,view
17255,treatment,new page,click
15370,control,old page,view
14660,control,old page,view
15354,control,old page,view
18665,treatment,new page,view
13332,control,old page,view
17358,treatment,new page,view
17630,treatment,new page,view
17655,treatment,new page,view
14683,control,old page,view
13899,control,old page,view
18136,treatment,new page,view
17105,treatment,new page,view
13921,control,old page,view
17960,treatment,new page,click
17643,treatment,new page,view
14554,control,old page,view
14136,control,old page,view
17120,treatment,new page,view
15218,control,old page,view
14668,control,old page,click
14415,control,old page,click
17133,treatment,new page,view
18392,treatment,new page,view
17721,treatment,new page,click
17334,treatment,new page,view
14586,control,old page,view
15710,control,old page,view
13815,control,old page,view
17925,treatment,new page,view
18282,treatment,new page,click
14250,control,old page,view
18000,treatment,new page,view
17953,treatment,new page,click
18404,treatment,new page,view
17384,treatment,new page,view
14351,control,old page,view
17967,treatment,new page,view
15001,control,old page,click
13741,control,old page,view
18010,treatment,new page,view
15591,control,old page,view
15594,control,old page,view
17981,treatment,new page,view
14337,control,old page,view
15501,control,old page,view
16991,treatment,new page,view
13873,control,old page,view
14958,control,old page,view
15736,control,old page,view
17443,treatment,new page,view
18538,treatment,new page,click
16995,treatment,new page,view
15745,control,old page,view
14903,control,old page,click
17596,treatment,new page,view
15327,control,old page,click
15630,control,old page,view
13507,control,old page,view
14800,control,old page,view
15510,control,old page,view
18616,treatment,new page,click
17844,treatment,new page,view
15204,control,old page,view
14337,control,old page,view
14231,control,old page,view
17721,treatment,new page,view
13191,control,old page,click
13288,control,old page,click
13611,control,old page,view
15351,control,old page,view
18473,treatment,new page,click
17982,treatment,new page,view
13878,control,old page,view
13423,control,old page,view
17813,treatment,new page,view
17356,treatment,new page,view
18395,treatment,new page,view
15073,control,old page,view
14325,control,old page,click
13620,control,old page,view
17239,treatment,new page,view
14105,control,old page,click
17002,treatment,new page,click
13825,control,old page,view
16887,treatment,new page,view
18484,treatment,new page,click
17687,treatment,new page,view
13838,control,old page,click
17496,treatment,new page,view
14441,control,old page,view
14990,control,old page,view
13355,control,old page,view
15319,control,old page,view
13132,control,old page,view
13263,control,old page,view
16983,treatment,new page,view
15148,control,old page,click
14582,control,old page,click
17609,treatment,new page,view
18471,treatment,new page,click
15286,control,old page,view
18086,treatment,new page,view
18507,treatment,new page,view
18131,treatment,new page,view
17332,treatment,new page,view
15591,control,old page,click
16960,treatment,new page,view
15162,control,old page,view
13000,control,old page,view
14476,control,old page,view
13590,control,old page,view
14240,control,old page,click
17286,treatment,new page,click
17892,treatment,new page,view
15315,control,old page,view
14447,control,old page,click
18683,treatment,new page,click
14433,control,old page,view
15635,control,old page,view
13161,control,old page,view
18070,treatment,new page,click
14248,control,old page,click
17488,treatment,new page,view
18094,treatment,new page,view
18255,treatment,new page,view
13898,control,old page,view
16910,treatment,new page,click
18220,treatment,new page,view
13943,control,old page,view
14858,control,old page,click
18484,treatment,new page,view
18367,treatment,new page,view
17036,treatment,new page,view
15137,control,old page,view
17486,treatment,new page,view
15583,control,old page,click
18196,treatment,new page,view
17808,treatment,new page,view
18542,treatment,new page,view
18176,treatment,new page,view
16933,treatment,new page,view
18020,treatment,new page,view
14207,control,old page,view
14932,control,old page,view
15619,control,old page,view
13453,control,old page,view
15373,control,old page,view
15049,control,old page,view
14518,control,old page,click
14185,control,old page,view
15294,control,old page,view
13054,control,old page,view
17048,treatment,new page,view
17030,treatment,new page,view
13788,control,old page,view
17983,treatment,new page,click
14269,control,old page,view
15405,control,old page,view
13154,control,old page,view
17075,treatment,new page,view
14936,control,old page,view
14659,control,old page,view
13052,control,old page,view
14682,control,old page,view
14456,control,old page,view
15644,control,old page,view
14525,control,old page,click
14174,control,old page,click
13724,control,old page,view
13043,control,old page,view
18265,treatment,new page,view
17321,treatment,new page,click
17756,treatment,new page,view
17895,treatment,new page,view
17032,treatment,new page,click
18046,treatment,new page,view
17156,treatment,new page,click
14992,control,old page,view
17322,treatment,new page,click
17443,treatment,new page,click
16917,treatment,new page,click
18323,treatment,new page,click
14382,control,old page,view
18635,treatment,new page,view
15471,control,old page,click
13877,control,old page,view
18129,treatment,new page,view
12918,control,old page,click
17015,treatment,new page,view
18613,treatment,new page,view
18427,treatment,new page,view
17167,treatment,new page,view
13024,control,old page,view
18289,treatment,new page,view
13592,control,old page,click
17208,treatment,new page,view
12882,control,old page,view
18452,treatment,new page,click
15156,control,old page,view
16927,treatment,new page,click
13013,control,old page,view
18016,treatment,new page,view
14502,control,old page,view
13574,control,old page,view
16917,treatment,new page,view
12941,control,old page,view
18130,treatment,new page,view
13974,control,old page,click
18583,treatment,new page,view
13260,control,old page,view
14831,control,old page,view
17875,treatment,new page,view
15754,control,old page,click
16951,treatment,new page,view
14287,control,old page,view
18016,treatment,new page,view
18494,treatment,new page,view
18342,treatment,new page,click
12913,control,old page,click
18594,treatment,new page,click
17685,treatment,new page,view
17391,treatment,new page,view
17951,treatment,new page,view
15396,control,old page,view
13896,control,old page,view
14732,control,old page,view
18003,treatment,new page,view
13399,control,old page,view
14278,control,old page,view
15150,control,old page,click
17353,treatment,new page,view
13569,control,old page,view
13214,control,old page,view
15209,control,old page,view
17453,treatment,new page,view
18461,treatment,new page,view
14266,control,old page,click
12977,control,old page,view
15046,control,old page,view
15563,control,old page,view
14799,control,old page,view
16889,treatment,new page,view
14168,control,old page,view
15423,control,old page,view
17081,treatment,new page,view
18567,treatment,new page,click
18231,treatment,new page,click
14532,control,old page,click
14059,control,old page,view
14307,control,old page,view
17570,treatment,new page,click
14503,control,old page,click
13407,control,old page,view
17188,treatment,new page,view
12887,control,old page,click
14672,control,old page,view
17317,treatment,new page,view
13975,control,old page,view
16995,treatment,new page,view
18286,treatment,new page,view
16938,treatment,new page,view
15674,control,old page,click
17511,treatment,new page,view
13082,control,old page,view
14651,control,old page,view
17963,treatment,new page,click
18535,treatment,new page,click
13121,control,old page,view
17998,treatment,new page,view
15234,control,old page,view
16948,treatment,new page,view
12991,control,old page,view
18192,treatment,new page,view
13443,control,old page,view
14512,control,old page,view
14949,control,old page,click
13752,control,old page,view
14022,control,old page,view
17213,treatment,new page,click
17770,treatment,new page,view
13526,control,old page,view
18412,treatment,new page,view
17787,treatment,new page,click
14109,control,old page,click
15462,control,old page,view
14025,control,old page,view
17182,treatment,new page,view
14113,control,old page,view
17515,treatment,new page,view
15515,control,old page,view
14466,control,old page,click
17569,treatment,new page,click
18621,treatment,new page,view
17983,treatment,new page,view
14493,control,old page,view
15021,control,old page,view
13377,control,old page,view
15453,control,old page,view
15494,control,old page,view
13220,control,old page,click
18116,treatment,new page,view
14406,control,old page,click
18483,treatment,new page,click
14472,control,old page,view
15362,control,old page,click
18372,treatment,new page,view
17274,treatment,new page,view
14054,control,old page,click
14330,control,old page,click
15645,control,old page,click
14571,control,old page,view
17684,treatment,new page,view
17013,treatment,new page,view
18176,treatment,new page,view
17317,treatment,new page,view
16984,treatment,new page,view
15559,control,old page,view
17112,treatment,new page,click
13508,control,old page,view
13864,control,old page,view
17366,treatment,new page,view
18657,treatment,new page,click
17278,treatment,new page,view
15568,control,old page,click
18593,treatment,new page,click
14018,control,old page,view
17622,treatment,new page,view
15757,control,old page,view
18464,treatment,new page,view
17291,treatment,new page,click
17710,treatment,new page,view
14812,control,old page,click
18081,treatment,new page,click
12989,control,old page,view
18422,treatment,new page,click
13352,control,old page,view
17935,treatment,new page,click
17022,treatment,new page,click
17811,treatment,new page,view
14070,control,old page,click
16884,treatment,new page,view
14310,control,old page,view
14674,control,old page,view
17794,treatment,new page,view
17236,treatment,new page,view
14649,control,old page,click
15075,control,old page,view
12889,control,old page,view
16916,treatment,new page,view
15137,control,old page,click
15537,control,old page,view
17460,treatment,new page,click
18372,treatment,new page,click
13735,control,old page,click
15709,control,old page,view
17458,treatment,new page,click
14499,control,old page,view
17777,treatment,new page,click
18692,treatment,new page,view
13380,control,old page,view
13475,control,old page,view
17774,treatment,new page,view
16911,treatment,new page,click
15614,control,old page,view
14554,control,old page,view
17884,treatment,new page,click
17434,treatment,new page,click
14927,control,old page,view
18492,treatment,new page,click
18470,treatment,new page,view
16990,treatment,new page,view
13682,control,old page,click
17768,treatment,new page,click
18455,treatment,new page,view
17889,treatment,new page,view
17138,treatment,new page,view
14052,control,old page,view
13143,control,old page,view
13029,control,old page,view
13769,control,old page,view
18471,treatment,new page,view
17617,treatment,new page,view
18398,treatment,new page,view
17294,treatment,new page,click
18339,treatment,new page,view
14809,control,old page,view
14548,control,old page,click
18088,treatment,new page,view
13476,control,old page,click
15366,control,old page,view
14516,control,old page,click
18356,treatment,new page,view
15734,control,old page,view
13237,control,old page,view
17856,treatment,new page,view
14453,control,old page,view
15351,control,old page,click
13905,control,old page,view
14913,control,old page,click
13646,control,old page,click
13225,control,old page,view
17477,treatment,new page,view
18241,treatment,new page,view
18532,treatment,new page,view
13713,control,old page,view
15053,control,old page,view
17369,treatment,new page,view
14152,control,old page,click
13271,control,old page,view
18021,treatment,new page,view
15453,control,old page,view
15224,control,old page,view
18446,treatment,new page,view
14128,control,old page,view
15668,control,old page,view
18317,treatment,new page,view
18282,treatment,new page,view
13498,control,old page,view
18409,treatment,new page,click
13689,control,old page,view
14521,control,old page,view
18487,treatment,new page,view
17911,treatment,new page,view
12968,control,old page,view
17387,treatment,new page,view
18584,treatment,new page,click
14175,control,old page,view
17273,treatment,new page,view
17133,treatment,new page,view
15208,control,old page,view
18112,treatment,new page,view
15563,control,old page,click
17803,treatment,new page,click
16977,treatment,new page,view
13448,control,old page,click
18637,treatment,new page,click
13715,control,old page,view
15282,control,old page,view
16906,treatment,new page,click
13332,control,old page,view
13807,control,old page,view
15297,control,old page,view
17591,treatment,new page,click
13987,control,old page,click
18189,treatment,new page,click
18313,treatment,new page,click
16959,treatment,new page,view
18596,treatment,new page,view
13295,control,old page,click
13245,control,old page,view
14738,control,old page,view
18664,treatment,new page,view
13474,control,old page,view
17971,treatment,new page,click
15492,control,old page,click
17607,treatment,new page,view
14287,control,old page,view
17819,treatment,new page,view
13626,control,old page,view
17746,treatment,new page,view
15077,control,old page,view
13842,control,old page,view
13956,control,old page,view
17536,treatment,new page,view
17525,treatment,new page,view
17309,treatment,new page,view
17056,treatment,new page,view
17000,treatment,new page,view
13234,control,old page,view
17162,treatment,new page,view
17060,treatment,new page,view
14781,control,old page,view
14128,control,old page,view
17804,treatment,new page,view
13916,control,old page,click
14702,control,old page,view
18647,treatment,new page,view
17409,treatment,new page,view
17450,treatment,new page,click
16882,treatment,new page,click
15239,control,old page,view
15434,control,old page,click
13568,control,old page,view
14419,control,old page,view
13370,control,old page,view
17659,treatment,new page,click
14835,control,old page,view
14319,control,old page,view
14613,control,old page,view
15176,control,old page,view
13740,control,old page,view
16927,treatment,new page,view
18035,treatment,new page,view
18659,treatment,new page,view
13417,control,old page,view
14180,control,old page,view
14865,control,old page,view
13993,control,old page,view
18192,treatment,new page,click
17800,treatment,new page,view
18659,treatment,new page,view
15290,control,old page,click
14298,control,old page,view
15066,control,old page,view
17552,treatment,new page,view
13043,control,old page,view
17333,treatment,new page,view
15372,control,old page,click
13592,control,old page,view
13782,control,old page,click
13858,control,old page,view
17943,treatment,new page,view
17259,treatment,new page,view
13476,control,old page,click
18223,treatment,new page,view
12998,control,old page,view
17442,treatment,new page,view
13223,control,old page,view
15417,control,old page,click
17852,treatment,new page,click
13671,control,old page,view
14503,control,old page,view
17767,treatment,new page,view
17732,treatment,new page,view
18320,treatment,new page,view
18380,treatment,new page,view
13852,control,old page,click
14132,control,old page,click
14671,control,old page,view
17292,treatment,new page,view
13792,control,old page,view
14446,control,old page,view
17729,treatment,new page,view
15545,control,old page,view
16910,treatment,new page,view
17844,treatment,new page,view
13380,control,old page,view
13967,control,old page,click
15297,control,old page,view
13579,control,old page,view
17249,treatment,new page,view
17655,treatment,new page,view
18321,treatment,new page,view
18139,treatment,new page,view
13024,control,old page,view
16945,treatment,new page,view
18584,treatment,new page,view
15123,control,old page,view
15724,control,old page,view
17353,treatment,new page,view
13501,control,old page,view
18156,treatment,new page,view
13362,control,old page,view
13926,control,old page,view
18395,treatment,new page,view
17560,treatment,new page,view
14608,control,old page,view
15714,control,old page,view
18020,treatment,new page,view
17442,treatment,new page,view
14020,control,old page,click
13604,control,old page,click
17885,treatment,new page,view
13470,control,old page,view
18086,treatment,new page,view
14611,control,old page,view
15538,control,old page,click
15125,control,old page,view
14144,control,old page,view
15217,control,old page,click
17655,treatment,new page,view
17148,treatment,new page,view
17644,treatment,new page,view
18353,treatment,new page,view
13172,control,old page,view
17391,treatment,new page,view
17121,treatment,new page,view
17727,treatment,new page,view
17905,treatment,new page,view
17389,treatment,new page,view
15371,control,old page,view
16934,treatment,new page,view
14507,control,old page,view
15471,control,old page,view
15135,control,old page,view
14900,control,old page,view
14651,control,old page,click
15317,control,old page,view
16900,treatment,new page,view
17316,treatment,new page,view
15338,control,old page,click
15739,control,old page,view
18067,treatment,new page,click
17325,treatment,new page,click
15526,control,old page,view
17856,treatment,new page,view
14142,control,old page,view
13218,control,old page,view
15429,control,old page,click
14730,control,old page,view
17804,treatment,new page,view
13005,control,old page,view
14724,control,old page,view
17794,treatment,new page,view
15496,control,old page,view
13576,control,old page,view
13465,control,old page,view
17373,treatment,new page,view
17242,treatment,new page,view
17301,treatment,new page,view
14992,control,old page,view
12969,control,old page,view
15142,control,old page,click
14074,control,old page,click
17437,treatment,new page,click
13746,control,old page,click
15050,control,old page,click
14839,control,old page,view
16962,treatment,new page,click
18484,treatment,new page,view
18517,treatment,new page,view
18282,treatment,new page,view
14921,control,old page,view
18435,treatment,new page,view
14156,control,old page,view
17501,treatment,new page,click
14514,control,old page,click
17818,treatment,new page,view
14032,control,old page,view
18135,treatment,new page,view
17931,treatment,new page,view
15358,control,old page,click
15591,control,old page,view
17808,treatment,new page,view
18338,treatment,new page,click
12879,control,old page,view
15336,control,old page,view
17178,treatment,new page,view
18092,treatment,new page,view
15704,control,old page,click
17180,treatment,new page,view
17772,treatment,new page,view
15520,control,old page,view
18399,treatment,new page,click
17840,treatment,new page,view
13056,control,old page,click
13376,control,old page,view
18210,treatment,new page,view
18644,treatment,new page,view
16889,treatment,new page,click
17671,treatment,new page,click
18481,treatment,new page,view
13296,control,old page,view
14640,control,old page,view
18320,treatment,new page,click
15657,control,old page,view
15586,control,old page,view
17351,treatment,new page,view
18510,treatment,new page,click
18514,treatment,new page,click
15455,control,old page,view
18332,treatment,new page,view
14553,control,old page,view
14692,control,old page,view
18540,treatment,new page,view
17220,treatment,new page,view
14026,control,old page,view
17526,treatment,new page,view
18632,treatment,new page,view
18390,treatment,new page,click
18035,treatment,new page,click
14645,control,old page,view
13837,control,old page,view
17752,treatment,new page,view
18575,treatment,new page,view
14648,control,old page,view
17945,treatment,new page,click
17372,treatment,new page,view
17178,treatment,new page,view
17359,treatment,new page,click
18545,treatment,new page,view
18195,treatment,new page,click
17157,treatment,new page,view
14188,control,old page,view
13832,control,old page,view
13522,control,old page,click
15286,control,old page,view
13656,control,old page,view
15501,control,old page,view
13182,control,old page,view
13995,control,old page,view
14264,control,old page,view
17048,treatment,new page,view
13463,control,old page,view
17240,treatment,new page,view
13674,control,old page,click
18131,treatment,new page,click
17148,treatment,new page,view
17222,treatment,new page,view
18418,treatment,new page,view
18667,treatment,new page,view
17312,treatment,new page,view
18279,treatment,new page,view
12970,control,old page,view
17290,treatment,new page,view
18034,treatment,new page,click
17650,treatment,new page,view
18012,treatment,new page,click
18645,treatment,new page,click
15245,control,old page,view
13956,control,old page,view
17128,treatment,new page,view
13151,control,old page,click
14901,control,old page,view
12956,control,old page,click
13442,control,old page,view
17501,treatment,new page,view
18555,treatment,new page,view
13779,control,old page,click
15169,control,old page,view
18249,treatment,new page,click
17040,treatment,new page,view
18080,treatment,new page,view
16929,treatment,new page,view
13811,control,old page,view
13465,control,old page,click
17236,treatment,new page,view
17718,treatment,new page,view
18041,treatment,new page,view
14251,control,old page,click
16961,treatment,new page,view
13460,control,old page,view
15087,control,old page,view
13619,control,old page,view
17200,treatment,new page,view
14986,control,old page,view
14697,control,old page,click
18161,treatment,new page,click
14499,control,old page,view
13961,control,old page,view
14683,control,old page,view
18616,treatment,new page,view
13048,control,old page,view
13138,control,old page,view
14703,control,old page,click
15217,control,old page,view
17209,treatment,new page,view
18255,treatment,new page,view
14830,control,old page,view
13861,control,old page,click
15562,control,old page,view
13884,control,old page,click
17149,treatment,new page,view
17637,treatment,new page,view
13532,control,old page,view
17977,treatment,new page,view
17914,treatment,new page,view
18506,treatment,new page,click
17853,treatment,new page,view
17254,treatment,new page,click
17899,treatment,new page,view
17368,treatment,new page,view
13193,control,old page,view
17511,treatment,new page,view
17019,treatment,new page,view
17931,treatment,new page,view
15061,control,old page,view
15686,control,old page,view
12988,control,old page,view
17828,treatment,new page,click
17505,treatment,new page,view
15608,control,old page,view
12982,control,old page,view
15045,control,old page,view
15269,control,old page,view
13962,control,old page,view
17120,treatment,new page,view
13236,control,old page,view
17712,treatment,new page,view
18341,treatment,new page,view
18322,treatment,new page,view
18568,treatment,new page,click
14641,control,old page,view
13577,control,old page,view
14252,control,old page,view
15731,control,old page,view
18164,treatment,new page,view
18373,treatment,new page,click
14809,control,old page,view
14930,control,old page,view
17336,treatment,new page,view
13283,control,old page,click
18427,treatment,new page,view
15382,control,old page,click
13204,control,old page,view
12894,control,old page,view
14082,control,old page,view
14679,control,old page,view
14547,control,old page,view
15576,control,old page,view
13981,control,old page,view
17744,treatment,new page,view
16957,treatment,new page,view
18472,treatment,new page,view
18589,treatment,new page,view
18490,treatment,new page,view
17252,treatment,new page,view
14645,control,old page,view
18161,treatment,new page,view
16939,treatment,new page,view
14970,control,old page,view
17398,treatment,new page,view
18236,treatment,new page,view
18256,treatment,new page,view
15486,control,old page,view
17044,treatment,new page,view
17613,treatment,new page,view
18001,treatment,new page,view
14535,control,old page,view
13436,control,old page,view
17686,treatment,new page,view
14209,control,old page,click
13657,control,old page,click
18594,treatment,new page,click
14968,control,old page,view
17032,treatment,new page,view
14143,control,old page,view
18608,treatment,new page,view
14112,control,old page,view
17647,treatment,new page,view
14402,control,old page,view
13352,control,old page,view
18111,treatment,new page,click
14744,control,old page,click
17885,treatment,new page,view
17634,treatment,new page,view
14197,control,old page,click
14382,control,old page,click
15245,control,old page,view
12907,control,old page,click
17911,treatment,new page,click
16930,treatment,new page,view
17873,treatment,new page,view
13284,control,old page,click
15158,control,old page,view
17521,treatment,new page,view
13899,control,old page,view
13484,control,old page,view
17168,treatment,new page,click
17604,treatment,new page,view
16923,treatment,new page,view
18042,treatment,new page,view
13205,control,old page,click
15558,control,old page,view
13101,control,old page,view
18574,treatment,new page,view
18255,treatment,new page,click
15060,control,old page,view
17532,treatment,new page,view
14559,control,old page,click
17359,treatment,new page,view
15591,control,old page,view
17347,treatment,new page,view
15626,control,old page,view
17896,treatment,new page,view
17118,treatment,new page,view
17769,treatment,new page,view
18472,treatment,new page,view
13162,control,old page,view
15333,control,old page,view
18375,treatment,new page,view
14839,control,old page,view
15094,control,old page,view
16997,treatment,new page,view
16970,treatment,new page,view
12955,control,old page,view
14480,control,old page,view
18658,treatment,new page,view
17357,treatment,new page,view
15695,control,old page,view
15648,control,old page,view
18668,treatment,new page,view
17438,treatment,new page,view
14186,control,old page,view
18622,treatment,new page,view
14994,control,old page,view
15156,control,old page,view
14011,control,old page,click
14629,control,old page,view
14731,control,old page,view
18598,treatment,new page,view
13605,control,old page,view
18516,treatment,new page,view
13146,control,old page,view
12942,control,old page,click
14934,control,old page,view
13490,control,old page,click
14255,control,old page,view
18352,treatment,new page,view
18501,treatment,new page,view
15405,control,old page,view
14638,control,old page,view
17972,treatment,new page,view
15736,control,old page,view
13290,control,old page,view
14089,control,old page,view
15291,control,old page,view
17136,treatment,new page,click
18369,treatment,new page,view
18379,treatment,new page,view
17960,treatment,new page,view
13320,control,old page,view
14378,control,old page,view
18167,treatment,new page,view
17974,treatment,new page,click
17588,treatment,new page,view
15637,control,old page,view
17190,treatment,new page,click
18061,treatment,new page,click
18555,treatment,new page,view
14330,control,old page,view
15213,control,old page,view
13192,control,old page,view
18011,treatment,new page,click
13238,control,old page,view
15403,control,old page,click
17033,treatment,new page,click
18159,treatment,new page,view
13555,control,old page,view
13597,control,old page,click
14712,control,old page,view
14522,control,old page,view
15504,control,old page,view
12908,control,old page,view
17054,treatment,new page,view
17873,treatment,new page,view
15462,control,old page,click
18194,treatment,new page,click
14212,control,old page,view
17240,treatment,new page,view
16928,treatment,new page,view
15671,control,old page,view
13036,control,old page,click
18046,treatment,new page,view
17140,treatment,new page,click
15548,control,old page,view
13638,control,old page,view
17096,treatment,new page,view
15560,control,old page,view
13873,control,old page,view
14834,control,old page,view
18672,treatment,new page,view
18204,treatment,new page,view
18122,treatment,new page,view
13201,control,old page,view
13859,control,old page,click
13985,control,old page,view
17358,treatment,new page,view
18178,treatment,new page,view
14669,control,old page,view
18319,treatment,new page,click
17143,treatment,new page,view
14276,control,old page,view
17411,treatment,new page,click
16995,treatment,new page,click
17766,treatment,new page,view
15537,control,old page,view
14164,control,old page,view
16944,treatment,new page,view
17652,treatment,new page,view
18371,treatment,new page,view
17564,treatment,new page,click
17181,treatment,new page,view
14563,control,old page,view
14313,control,old page,view
17774,treatment,new page,click
13437,control,old page,view
18688,treatment,new page,click
17915,treatment,new page,view
14013,control,old page,click
15612,control,old page,view
18444,treatment,new page,view
16924,treatment,new page,view
17643,treatment,new page,click
18600,treatment,new page,view
16881,treatment,new page,view
15540,control,old page,view
14845,control,old page,click
15477,control,old page,click
13604,control,old page,view
15124,control,old page,view
18288,treatment,new page,view
18063,treatment,new page,view
18432,treatment,new page,view
13332,control,old page,view
14116,control,old page,click
18196,treatment,new page,view
17786,treatment,new page,view
17945,treatment,new page,view
13556,control,old page,view
15130,control,old page,click
13439,control,old page,click
17606,treatment,new page,view
17700,treatment,new page,view
15331,control,old page,view
15356,control,old page,view
14041,control,old page,view
17583,treatment,new page,view
13171,control,old page,view
17398,treatment,new page,view
14368,control,old page,view
17829,treatment,new page,click
13178,control,old page,view
17177,treatment,new page,click
14642,control,old page,view
13648,control,old page,view
18002,treatment,new page,view
17218,treatment,new page,view
18564,treatment,new page,view
14284,control,old page,view
17795,treatment,new page,view
14386,control,old page,view
