id,group,pdp_page,engagement_time
16316,control,old page,2.5
21035,control,old page,2
21672,control,old page,2
22120,control,old page,2.5
16634,control,old page,2
34239,treatment,new page,1.5
23348,control,old page,2
12999,control,old page,2.5
15554,control,old page,2
33939,treatment,new page,1
12739,control,old page,2.5
19175,control,old page,2
22452,control,old page,2
18561,control,old page,2
22523,control,old page,2
21492,control,old page,2.5
26100,treatment,new page,1
19556,control,old page,2.5
17862,control,old page,2.5
13313,control,old page,2.5
28915,treatment,new page,1
14487,control,old page,2
29390,treatment,new page,1.5
26315,treatment,new page,1
34414,treatment,new page,1.5
21878,control,old page,2
27350,treatment,new page,1.5
26113,treatment,new page,1
13429,control,old page,2.5
26158,treatment,new page,1.5
13770,control,old page,2.5
21622,control,old page,2
17965,control,old page,2.5
19525,control,old page,2
28498,treatment,new page,1
18978,control,old page,2.5
15419,control,old page,2.5
18812,control,old page,2
17351,control,old page,2.5
12784,control,old page,2.5
32724,treatment,new page,1
16486,control,old page,2
17239,control,old page,2.5
29502,treatment,new page,1.5
25065,control,old page,2
14836,control,old page,2
28749,treatment,new page,1
15244,control,old page,2
14984,control,old page,2.5
14662,control,old page,2
25481,control,old page,2.5
29323,treatment,new page,1
25885,control,old page,2.5
13277,control,old page,2
28449,treatment,new page,1
28390,treatment,new page,1
14070,control,old page,2
33455,treatment,new page,1
18516,control,old page,2.5
21631,control,old page,2.5
15043,control,old page,2.5
25540,control,old page,2.5
26243,treatment,new page,1
22115,control,old page,2.5
22017,control,old page,2.5
15899,control,old page,2
16558,control,old page,2
16186,control,old page,2
14124,control,old page,2
32442,treatment,new page,1
16365,control,old page,2.5
21465,control,old page,2.5
32684,treatment,new page,1.5
15643,control,old page,2
14801,control,old page,2.5
32931,treatment,new page,1
29833,treatment,new page,1
31079,treatment,new page,1.5
26136,treatment,new page,1
27785,treatment,new page,1.5
32411,treatment,new page,1.5
29139,treatment,new page,1
22971,control,old page,2.5
25602,control,old page,2.5
32061,treatment,new page,1
28242,treatment,new page,1.5
34199,treatment,new page,1
22075,control,old page,2
19991,control,old page,2.5
13828,control,old page,2.5
26355,treatment,new page,1
19780,control,old page,2
22985,control,old page,2.5
16585,control,old page,2
22850,control,old page,2.5
24119,control,old page,2.5
25477,control,old page,2
33379,treatment,new page,1.5
13505,control,old page,2.5
34226,treatment,new page,1
17060,control,old page,2.5
32801,treatment,new page,1.5
31021,treatment,new page,1
31299,treatment,new page,1.5
31003,treatment,new page,1
24186,control,old page,2.5
25643,control,old page,2.5
22030,control,old page,2.5
33343,treatment,new page,1.5
25486,control,old page,2
23742,control,old page,2.5
30757,treatment,new page,1
31797,treatment,new page,1
33984,treatment,new page,1
27696,treatment,new page,1.5
22375,control,old page,2
34342,treatment,new page,1
22142,control,old page,2.5
18651,control,old page,2
27884,treatment,new page,1.5
32021,treatment,new page,1.5
28440,treatment,new page,1
28583,treatment,new page,1.5
30022,treatment,new page,1
13245,control,old page,2
24459,control,old page,2.5
26508,treatment,new page,1
15101,control,old page,2.5
15675,control,old page,2.5
24719,control,old page,2
17382,control,old page,2.5
31846,treatment,new page,1
26248,treatment,new page,1.5
19296,control,old page,2.5
34298,treatment,new page,1.5
15589,control,old page,2
14975,control,old page,2.5
33831,treatment,new page,1.5
29703,treatment,new page,1
26683,treatment,new page,1
32823,treatment,new page,1
25329,control,old page,2
17172,control,old page,2.5
19632,control,old page,2
32119,treatment,new page,1.5
28605,treatment,new page,1
14886,control,old page,2.5
18256,control,old page,2
34172,treatment,new page,1.5
29027,treatment,new page,1.5
21093,control,old page,2
22613,control,old page,2.5
25782,control,old page,2.5
20040,control,old page,2.5
31245,treatment,new page,1.5
21322,control,old page,2
23541,control,old page,2.5
17763,control,old page,2
32487,treatment,new page,1
28068,treatment,new page,1.5
19108,control,old page,2
20009,control,old page,2
16885,control,old page,2.5
18449,control,old page,2.5
28233,treatment,new page,1
27458,treatment,new page,1
13084,control,old page,2
16517,control,old page,2
21385,control,old page,2
24388,control,old page,2
17441,control,old page,2.5
19897,control,old page,2
30707,treatment,new page,1.5
28323,treatment,new page,1
20242,control,old page,2
31124,treatment,new page,1
25298,control,old page,2.5
25930,control,old page,2
26880,treatment,new page,1.5
31308,treatment,new page,1
32783,treatment,new page,1
32841,treatment,new page,1.5
15975,control,old page,2
24105,control,old page,2.5
23218,control,old page,2
33235,treatment,new page,1
19068,control,old page,2.5
16369,control,old page,2
19901,control,old page,2
29968,treatment,new page,1
27727,treatment,new page,1.5
15513,control,old page,2
16714,control,old page,2
20762,control,old page,2
31039,treatment,new page,1
25844,control,old page,2
29125,treatment,new page,1
12905,control,old page,2.5
21483,control,old page,2
24446,control,old page,2
22868,control,old page,2
31891,treatment,new page,1.5
33459,treatment,new page,1.5
30896,treatment,new page,1
24509,control,old page,2
27570,treatment,new page,1
17396,control,old page,2.5
13335,control,old page,2.5
13649,control,old page,2
31035,treatment,new page,1.5
15105,control,old page,2
20618,control,old page,2
15719,control,old page,2
19032,control,old page,2.5
20775,control,old page,2
27306,treatment,new page,1.5
14594,control,old page,2.5
29497,treatment,new page,1
32384,treatment,new page,1
34069,treatment,new page,1.5
26647,treatment,new page,1
20793,control,old page,2.5
14612,control,old page,2.5
16410,control,old page,2
15567,control,old page,2
29439,treatment,new page,1.5
27023,treatment,new page,1.5
28798,treatment,new page,1.5
34284,treatment,new page,1
33719,treatment,new page,1.5
25159,control,old page,2
25293,control,old page,2.5
34311,treatment,new page,1.5
22286,control,old page,2.5
33298,treatment,new page,1
15639,control,old page,2.5
31819,treatment,new page,1
18243,control,old page,2.5
30972,treatment,new page,1.5
30806,treatment,new page,1.5
18023,control,old page,2.5
18229,control,old page,2.5
27552,treatment,new page,1.5
18888,control,old page,2.5
18987,control,old page,2
21013,control,old page,2
14213,control,old page,2.5
33666,treatment,new page,1
21757,control,old page,2
27821,treatment,new page,1.5
14491,control,old page,2.5
33329,treatment,new page,1.5
17606,control,old page,2
12716,control,old page,2.5
19695,control,old page,2
23231,control,old page,2
26875,treatment,new page,1.5
27996,treatment,new page,1
28171,treatment,new page,1.5
25777,control,old page,2
31765,treatment,new page,1
24415,control,old page,2.5
22209,control,old page,2
25316,control,old page,2.5
17709,control,old page,2
21739,control,old page,2
28354,treatment,new page,1
22644,control,old page,2.5
21604,control,old page,2.5
15585,control,old page,2.5
15289,control,old page,2
27400,treatment,new page,1
30403,treatment,new page,1
23828,control,old page,2.5
21591,control,old page,2
15697,control,old page,2.5
22348,control,old page,2.5
12636,control,old page,2.5
14926,control,old page,2.5
33361,treatment,new page,1
27028,treatment,new page,1.5
14962,control,old page,2
22698,control,old page,2
29614,treatment,new page,1.5
14209,control,old page,2.5
33572,treatment,new page,1
30699,treatment,new page,1
29851,treatment,new page,1
27086,treatment,new page,1.5
13833,control,old page,2.5
14769,control,old page,2.5
32621,treatment,new page,1
13147,control,old page,2.5
26709,treatment,new page,1.5
21573,control,old page,2
32698,treatment,new page,1.5
25903,control,old page,2.5
13151,control,old page,2
24616,control,old page,2.5
24258,control,old page,2
26423,treatment,new page,1.5
16468,control,old page,2.5
33164,treatment,new page,1
17324,control,old page,2
20905,control,old page,2.5
28762,treatment,new page,1.5
25629,control,old page,2.5
22962,control,old page,2.5
25074,control,old page,2.5
18534,control,old page,2
30927,treatment,new page,1.5
15594,control,old page,2.5
22192,control,old page,2
32675,treatment,new page,1.5
33428,treatment,new page,1
28395,treatment,new page,1
23034,control,old page,2.5
22474,control,old page,2
27808,treatment,new page,1
13097,control,old page,2
19520,control,old page,2.5
19238,control,old page,2
15733,control,old page,2.5
18557,control,old page,2.5
30353,treatment,new page,1
17400,control,old page,2.5
23267,control,old page,2
26311,treatment,new page,1.5
23922,control,old page,2.5
16970,control,old page,2.5
34446,treatment,new page,1
16450,control,old page,2.5
26521,treatment,new page,1
22864,control,old page,2.5
14317,control,old page,2
33383,treatment,new page,1.5
20488,control,old page,2.5
34100,treatment,new page,1.5
28579,treatment,new page,1.5
25835,control,old page,2.5
17745,control,old page,2
19673,control,old page,2.5
32339,treatment,new page,1.5
29399,treatment,new page,1
25221,control,old page,2
22743,control,old page,2
19193,control,old page,2
21129,control,old page,2.5
24518,control,old page,2
21806,control,old page,2.5
15249,control,old page,2
33213,treatment,new page,1
32334,treatment,new page,1.5
24244,control,old page,2
24155,control,old page,2.5
19812,control,old page,2.5
16930,control,old page,2
25992,treatment,new page,1.5
31788,treatment,new page,1
28332,treatment,new page,1.5
16078,control,old page,2.5
32281,treatment,new page,1.5
34235,treatment,new page,1.5
28296,treatment,new page,1
28780,treatment,new page,1
20923,control,old page,2.5
27893,treatment,new page,1
26024,treatment,new page,1
23532,control,old page,2
30474,treatment,new page,1.5
30869,treatment,new page,1
16625,control,old page,2
14496,control,old page,2
25513,control,old page,2.5
19121,control,old page,2
16827,control,old page,2.5
17822,control,old page,2.5
25351,control,old page,2.5
25069,control,old page,2
13478,control,old page,2
20323,control,old page,2
32653,treatment,new page,1
14075,control,old page,2.5
25020,control,old page,2.5
13837,control,old page,2
14814,control,old page,2
25741,control,old page,2
25508,control,old page,2
29408,treatment,new page,1.5
30295,treatment,new page,1.5
31434,treatment,new page,1
23971,control,old page,2.5
28283,treatment,new page,1
17019,control,old page,2
30842,treatment,new page,1
25558,control,old page,2
30089,treatment,new page,1.5
31698,treatment,new page,1.5
31617,treatment,new page,1
29219,treatment,new page,1.5
23007,control,old page,2
21855,control,old page,2.5
13743,control,old page,2.5
20381,control,old page,2
33047,treatment,new page,1
13801,control,old page,2.5
29596,treatment,new page,1
13971,control,old page,2
21797,control,old page,2
13582,control,old page,2
25342,control,old page,2.5
21264,control,old page,2.5
32680,treatment,new page,1
14559,control,old page,2.5
19480,control,old page,2
32585,treatment,new page,1
13160,control,old page,2
20058,control,old page,2.5
20296,control,old page,2.5
22752,control,old page,2
31501,treatment,new page,1.5
19484,control,old page,2.5
20376,control,old page,2.5
19489,control,old page,2
33513,treatment,new page,1.5
13174,control,old page,2.5
29202,treatment,new page,1
23343,control,old page,2
28565,treatment,new page,1.5
24034,control,old page,2.5
31008,treatment,new page,1.5
14043,control,old page,2.5
13954,control,old page,2.5
30313,treatment,new page,1
22685,control,old page,2.5
33182,treatment,new page,1.5
16616,control,old page,2.5
33634,treatment,new page,1.5
20963,control,old page,2.5
13071,control,old page,2.5
28139,treatment,new page,1
25006,control,old page,2.5
33706,treatment,new page,1
22263,control,old page,2.5
25737,control,old page,2.5
19462,control,old page,2.5
17669,control,old page,2.5
17835,control,old page,2.5
27315,treatment,new page,1
29883,treatment,new page,1.5
28973,treatment,new page,1.5
21107,control,old page,2
16948,control,old page,2.5
30546,treatment,new page,1
24563,control,old page,2.5
12627,control,old page,2
26302,treatment,new page,1.5
28229,treatment,new page,1
24585,control,old page,2.5
18028,control,old page,2.5
34351,treatment,new page,1
18875,control,old page,2.5
23079,control,old page,2
31922,treatment,new page,1
26808,treatment,new page,1
16114,control,old page,2
15401,control,old page,2.5
24361,control,old page,2
25186,control,old page,2
26203,treatment,new page,1
33540,treatment,new page,1
29981,treatment,new page,1.5
14805,control,old page,2.5
30855,treatment,new page,1.5
23209,control,old page,2
14742,control,old page,2
14738,control,old page,2
30309,treatment,new page,1.5
27117,treatment,new page,1
17651,control,old page,2
20475,control,old page,2.5
19498,control,old page,2
16652,control,old page,2
33930,treatment,new page,1.5
14702,control,old page,2
33549,treatment,new page,1
14285,control,old page,2
34338,treatment,new page,1.5
17633,control,old page,2.5
31447,treatment,new page,1.5
32204,treatment,new page,1
32940,treatment,new page,1
18566,control,old page,2.5
20609,control,old page,2.5
25589,control,old page,2.5
26562,treatment,new page,1.5
24827,control,old page,2.5
18964,control,old page,2.5
12829,control,old page,2
30102,treatment,new page,1
21008,control,old page,2.5
22357,control,old page,2
16311,control,old page,2.5
19785,control,old page,2.5
16159,control,old page,2.5
21376,control,old page,2.5
20999,control,old page,2.5
33096,treatment,new page,1.5
18996,control,old page,2.5
15522,control,old page,2.5
27341,treatment,new page,1.5
32850,treatment,new page,1
34405,treatment,new page,1.5
30147,treatment,new page,1
32899,treatment,new page,1.5
20901,control,old page,2.5
12860,control,old page,2
23352,control,old page,2.5
22617,control,old page,2
28731,treatment,new page,1.5
26086,treatment,new page,1.5
20591,control,old page,2.5
20833,control,old page,2
23397,control,old page,2.5
32415,treatment,new page,1
20448,control,old page,2.5
27601,treatment,new page,1
19856,control,old page,2
25728,control,old page,2
14617,control,old page,2
15079,control,old page,2
29672,treatment,new page,1.5
31662,treatment,new page,1
31066,treatment,new page,1.5
18059,control,old page,2
30815,treatment,new page,1.5
25934,control,old page,2
32662,treatment,new page,1.5
23666,control,old page,2.5
16441,control,old page,2.5
20134,control,old page,2
18261,control,old page,2
23608,control,old page,2
30506,treatment,new page,1
19256,control,old page,2
18530,control,old page,2
18445,control,old page,2
29255,treatment,new page,1.5
17163,control,old page,2.5
15370,control,old page,2.5
22344,control,old page,2.5
27498,treatment,new page,1.5
18211,control,old page,2
20224,control,old page,2.5
20251,control,old page,2
30775,treatment,new page,1.5
24419,control,old page,2
14971,control,old page,2.5
23285,control,old page,2
28175,treatment,new page,1.5
33146,treatment,new page,1
26705,treatment,new page,1.5
30291,treatment,new page,1
30591,treatment,new page,1
18642,control,old page,2
19475,control,old page,2
29049,treatment,new page,1
29403,treatment,new page,1.5
32155,treatment,new page,1.5
12797,control,old page,2.5
30228,treatment,new page,1
27283,treatment,new page,1.5
33347,treatment,new page,1
30040,treatment,new page,1
21134,control,old page,2.5
19744,control,old page,2
27794,treatment,new page,1.5
33607,treatment,new page,1.5
16132,control,old page,2.5
26759,treatment,new page,1
13236,control,old page,2
21869,control,old page,2
13447,control,old page,2.5
20645,control,old page,2
17687,control,old page,2
30340,treatment,new page,1.5
32137,treatment,new page,1.5
27839,treatment,new page,1
28220,treatment,new page,1
27189,treatment,new page,1
26010,treatment,new page,1
34132,treatment,new page,1
18633,control,old page,2
25289,control,old page,2.5
26369,treatment,new page,1.5
16737,control,old page,2.5
33858,treatment,new page,1.5
16540,control,old page,2
24491,control,old page,2
15016,control,old page,2
30721,treatment,new page,1.5
23675,control,old page,2
15276,control,old page,2.5
26351,treatment,new page,1
31017,treatment,new page,1
22505,control,old page,2.5
32527,treatment,new page,1
30712,treatment,new page,1.5
15262,control,old page,2
25244,control,old page,2
22922,control,old page,2.5
30600,treatment,new page,1
22021,control,old page,2.5
23698,control,old page,2
27588,treatment,new page,1.5
15827,control,old page,2.5
19431,control,old page,2
28964,treatment,new page,1.5
30999,treatment,new page,1.5
28942,treatment,new page,1.5
21811,control,old page,2
31976,treatment,new page,1
23805,control,old page,2
21120,control,old page,2.5
33437,treatment,new page,1.5
28928,treatment,new page,1
15002,control,old page,2.5
32388,treatment,new page,1
17499,control,old page,2
13129,control,old page,2
19054,control,old page,2
13738,control,old page,2
17956,control,old page,2.5
24796,control,old page,2
24321,control,old page,2
20161,control,old page,2
23850,control,old page,2
23590,control,old page,2
15988,control,old page,2
16732,control,old page,2
32308,treatment,new page,1
31626,treatment,new page,1.5
23420,control,old page,2.5
28444,treatment,new page,1.5
31492,treatment,new page,1.5
23765,control,old page,2.5
27337,treatment,new page,1.5
28874,treatment,new page,1.5
23823,control,old page,2
23527,control,old page,2
24809,control,old page,2.5
27982,treatment,new page,1.5
16562,control,old page,2.5
20385,control,old page,2.5
21932,control,old page,2
29977,treatment,new page,1
15581,control,old page,2
22945,control,old page,2
29210,treatment,new page,1.5
33101,treatment,new page,1
24325,control,old page,2
25271,control,old page,2.5
14720,control,old page,2.5
14505,control,old page,2
15034,control,old page,2
16378,control,old page,2
34141,treatment,new page,1.5
27185,treatment,new page,1.5
32240,treatment,new page,1
13375,control,old page,2.5
23778,control,old page,2
22568,control,old page,2.5
30143,treatment,new page,1
33805,treatment,new page,1
25024,control,old page,2
20107,control,old page,2
13039,control,old page,2.5
34401,treatment,new page,1
13268,control,old page,2.5
16638,control,old page,2.5
32245,treatment,new page,1
31980,treatment,new page,1.5
30277,treatment,new page,1.5
18126,control,old page,2
30183,treatment,new page,1
27064,treatment,new page,1.5
26929,treatment,new page,1.5
17409,control,old page,2.5
20027,control,old page,2
16777,control,old page,2
28260,treatment,new page,1
31510,treatment,new page,1
24630,control,old page,2.5
25692,control,old page,2
20152,control,old page,2
21017,control,old page,2.5
28637,treatment,new page,1
14034,control,old page,2.5
28767,treatment,new page,1.5
23989,control,old page,2
15710,control,old page,2.5
31824,treatment,new page,1.5
16961,control,old page,2
34065,treatment,new page,1.5
27409,treatment,new page,1.5
17588,control,old page,2
30524,treatment,new page,1.5
33567,treatment,new page,1.5
16598,control,old page,2.5
24625,control,old page,2
15935,control,old page,2
19081,control,old page,2.5
15728,control,old page,2
17378,control,old page,2
19650,control,old page,2
23424,control,old page,2
22268,control,old page,2
15330,control,old page,2
30811,treatment,new page,1.5
29811,treatment,new page,1.5
27503,treatment,new page,1.5
20269,control,old page,2.5
21743,control,old page,2.5
12748,control,old page,2.5
12770,control,old page,2.5
33110,treatment,new page,1
25755,control,old page,2.5
33814,treatment,new page,1
21250,control,old page,2.5
21371,control,old page,2.5
21703,control,old page,2.5
34463,treatment,new page,1.5
28059,treatment,new page,1
19986,control,old page,2.5
23572,control,old page,2.5
17530,control,old page,2
28812,treatment,new page,1
29793,treatment,new page,1.5
23429,control,old page,2
16643,control,old page,2
28202,treatment,new page,1.5
19973,control,old page,2.5
30860,treatment,new page,1
21277,control,old page,2
29435,treatment,new page,1.5
20470,control,old page,2.5
19354,control,old page,2.5
27332,treatment,new page,1
22111,control,old page,2
24527,control,old page,2.5
32715,treatment,new page,1
23715,control,old page,2.5
30125,treatment,new page,1
17911,control,old page,2.5
13443,control,old page,2.5
25786,control,old page,2.5
14931,control,old page,2
22366,control,old page,2.5
23890,control,old page,2.5
19789,control,old page,2.5
24693,control,old page,2.5
25679,control,old page,2.5
23263,control,old page,2
25979,treatment,new page,1.5
24894,control,old page,2
21519,control,old page,2
25051,control,old page,2.5
17987,control,old page,2
32523,treatment,new page,1.5
24249,control,old page,2
19386,control,old page,2.5
13165,control,old page,2.5
26463,treatment,new page,1
24684,control,old page,2.5
34392,treatment,new page,1.5
25091,control,old page,2.5
27368,treatment,new page,1.5
29986,treatment,new page,1
19139,control,old page,2.5
33764,treatment,new page,1
13608,control,old page,2
23384,control,old page,2.5
24020,control,old page,2
17826,control,old page,2
33580,treatment,new page,1.5
13438,control,old page,2.5
30461,treatment,new page,1
33625,treatment,new page,1
14016,control,old page,2
23191,control,old page,2
21860,control,old page,2
23290,control,old page,2.5
25212,control,old page,2.5
30788,treatment,new page,1
14940,control,old page,2
32034,treatment,new page,1.5
32285,treatment,new page,1.5
16513,control,old page,2
13501,control,old page,2.5
25661,control,old page,2
17136,control,old page,2.5
32402,treatment,new page,1.5
18283,control,old page,2
14877,control,old page,2
29533,treatment,new page,1.5
16083,control,old page,2.5
22218,control,old page,2.5
20184,control,old page,2.5
30120,treatment,new page,1.5
33128,treatment,new page,1.5
26965,treatment,new page,1
34275,treatment,new page,1.5
30941,treatment,new page,1.5
28879,treatment,new page,1.5
27131,treatment,new page,1
31873,treatment,new page,1
27467,treatment,new page,1.5
14326,control,old page,2
25916,control,old page,2.5
30945,treatment,new page,1
30076,treatment,new page,1
28108,treatment,new page,1
25441,control,old page,2
17992,control,old page,2
33522,treatment,new page,1
25665,control,old page,2
23505,control,old page,2
13604,control,old page,2.5
18861,control,old page,2.5
29726,treatment,new page,1.5
26593,treatment,new page,1
28686,treatment,new page,1
30385,treatment,new page,1.5
17140,control,old page,2
29098,treatment,new page,1.5
22460,control,old page,2.5
24092,control,old page,2
23738,control,old page,2
24442,control,old page,2.5
16746,control,old page,2
20533,control,old page,2
18310,control,old page,2
19336,control,old page,2
24495,control,old page,2
32290,treatment,new page,1
32644,treatment,new page,1.5
32993,treatment,new page,1
28292,treatment,new page,1
15146,control,old page,2
24742,control,old page,2
25714,control,old page,2.5
27041,treatment,new page,1
26163,treatment,new page,1
18852,control,old page,2
13398,control,old page,2.5
21076,control,old page,2
22779,control,old page,2
25002,control,old page,2.5
27964,treatment,new page,1
20403,control,old page,2
26037,treatment,new page,1.5
29237,treatment,new page,1
20587,control,old page,2.5
20896,control,old page,2
30595,treatment,new page,1
27144,treatment,new page,1
20444,control,old page,2.5
21089,control,old page,2
28677,treatment,new page,1.5
20654,control,old page,2.5
30013,treatment,new page,1
15836,control,old page,2.5
30201,treatment,new page,1
14097,control,old page,2
30004,treatment,new page,1
21649,control,old page,2.5
21421,control,old page,2
20596,control,old page,2.5
21340,control,old page,2.5
17212,control,old page,2
31304,treatment,new page,1.5
26557,treatment,new page,1
23966,control,old page,2.5
24280,control,old page,2.5
14500,control,old page,2.5
13003,control,old page,2.5
21972,control,old page,2
21663,control,old page,2
33948,treatment,new page,1
21654,control,old page,2
28413,treatment,new page,1
31779,treatment,new page,1
22510,control,old page,2.5
19233,control,old page,2.5
13075,control,old page,2
34230,treatment,new page,1
24872,control,old page,2
25849,control,old page,2
24477,control,old page,2
13250,control,old page,2
31971,treatment,new page,1
16051,control,old page,2
26046,treatment,new page,1.5
20479,control,old page,2.5
29134,treatment,new page,1.5
30730,treatment,new page,1.5
27229,treatment,new page,1
13102,control,old page,2.5
22254,control,old page,2
34374,treatment,new page,1
32182,treatment,new page,1
23917,control,old page,2
22165,control,old page,2
25759,control,old page,2
16719,control,old page,2.5
24831,control,old page,2
29107,treatment,new page,1.5
18947,control,old page,2
19130,control,old page,2.5
19942,control,old page,2.5
32599,treatment,new page,1.5
33643,treatment,new page,1.5
14160,control,old page,2
26530,treatment,new page,1
20878,control,old page,2.5
15724,control,old page,2.5
27826,treatment,new page,1
19735,control,old page,2
17315,control,old page,2
31577,treatment,new page,1.5
34459,treatment,new page,1
17920,control,old page,2
32886,treatment,new page,1
19543,control,old page,2.5
20690,control,old page,2.5
27158,treatment,new page,1
22425,control,old page,2
13384,control,old page,2.5
21950,control,old page,2
15280,control,old page,2
18167,control,old page,2.5
23796,control,old page,2.5
26342,treatment,new page,1
33074,treatment,new page,1
27955,treatment,new page,1
23151,control,old page,2.5
18315,control,old page,2.5
17741,control,old page,2
26167,treatment,new page,1.5
22160,control,old page,2
20865,control,old page,2
24455,control,old page,2.5
21026,control,old page,2.5
34383,treatment,new page,1
15164,control,old page,2
31900,treatment,new page,1
23402,control,old page,2
22734,control,old page,2
15818,control,old page,2.5
25956,control,old page,2
18588,control,old page,2.5
30170,treatment,new page,1
14366,control,old page,2.5
19906,control,old page,2.5
16921,control,old page,2
18718,control,old page,2
22859,control,old page,2.5
13218,control,old page,2.5
23196,control,old page,2
31389,treatment,new page,1.5
15056,control,old page,2
23747,control,old page,2
28319,treatment,new page,1
25764,control,old page,2.5
27176,treatment,new page,1.5
24679,control,old page,2
27960,treatment,new page,1
32218,treatment,new page,1
18749,control,old page,2
21914,control,old page,2.5
26777,treatment,new page,1
13452,control,old page,2.5
16571,control,old page,2
29488,treatment,new page,1.5
29000,treatment,new page,1
13998,control,old page,2.5
30918,treatment,new page,1.5
33554,treatment,new page,1.5
20816,control,old page,2
21273,control,old page,2
12766,control,old page,2
31290,treatment,new page,1
16262,control,old page,2
16692,control,old page,2
23473,control,old page,2
29717,treatment,new page,1
30322,treatment,new page,1
31855,treatment,new page,1.5
23075,control,old page,2.5
17907,control,old page,2.5
19005,control,old page,2
31716,treatment,new page,1.5
14675,control,old page,2
19758,control,old page,2.5
21690,control,old page,2.5
18265,control,old page,2
32769,treatment,new page,1
16226,control,old page,2.5
29744,treatment,new page,1
26795,treatment,new page,1
32075,treatment,new page,1.5
32110,treatment,new page,1.5
29932,treatment,new page,1.5
29878,treatment,new page,1.5
31138,treatment,new page,1
27915,treatment,new page,1.5
32025,treatment,new page,1
31694,treatment,new page,1.5
16607,control,old page,2.5
25463,control,old page,2
16020,control,old page,2.5
30318,treatment,new page,1
13272,control,old page,2.5
26176,treatment,new page,1
30976,treatment,new page,1.5
28341,treatment,new page,1.5
33316,treatment,new page,1
13223,control,old page,2
24549,control,old page,2
14205,control,old page,2.5
34002,treatment,new page,1
22420,control,old page,2.5
27377,treatment,new page,1
28287,treatment,new page,1
29605,treatment,new page,1.5
27530,treatment,new page,1.5
20045,control,old page,2.5
17947,control,old page,2
20412,control,old page,2
19587,control,old page,2.5
14890,control,old page,2
13496,control,old page,2
15527,control,old page,2.5
16056,control,old page,2.5
26907,treatment,new page,1
18785,control,old page,2.5
16060,control,old page,2
23559,control,old page,2
16661,control,old page,2
19408,control,old page,2.5
33809,treatment,new page,1.5
34423,treatment,new page,1.5
21228,control,old page,2
17024,control,old page,2
21685,control,old page,2
27736,treatment,new page,1.5
22761,control,old page,2.5
21560,control,old page,2
22797,control,old page,2
31546,treatment,new page,1
34410,treatment,new page,1
31106,treatment,new page,1.5
13093,control,old page,2.5
25683,control,old page,2
32693,treatment,new page,1.5
21851,control,old page,2.5
16168,control,old page,2.5
14949,control,old page,2.5
24204,control,old page,2.5
32819,treatment,new page,1
14792,control,old page,2.5
19767,control,old page,2.5
29345,treatment,new page,1.5
24213,control,old page,2
27870,treatment,new page,1
24634,control,old page,2
26001,treatment,new page,1.5
23711,control,old page,2.5
16495,control,old page,2.5
18727,control,old page,2
12802,control,old page,2
17109,control,old page,2
15926,control,old page,2.5
32200,treatment,new page,1
29941,treatment,new page,1.5
16011,control,old page,2
25132,control,old page,2
28269,treatment,new page,1.5
16293,control,old page,2
21506,control,old page,2.5
20345,control,old page,2.5
24814,control,old page,2
25804,control,old page,2
31357,treatment,new page,1
28534,treatment,new page,1.5
21533,control,old page,2
32577,treatment,new page,1.5
27324,treatment,new page,1
30071,treatment,new page,1.5
16334,control,old page,2
29587,treatment,new page,1
22317,control,old page,2.5
31425,treatment,new page,1
14173,control,old page,2
16446,control,old page,2.5
26535,treatment,new page,1
32438,treatment,new page,1.5
22295,control,old page,2.5
28794,treatment,new page,1
15038,control,old page,2
26230,treatment,new page,1.5
13044,control,old page,2
31702,treatment,new page,1
26073,treatment,new page,1
20798,control,old page,2
20887,control,old page,2.5
12690,control,old page,2
15334,control,old page,2.5
19444,control,old page,2.5
23841,control,old page,2
28982,treatment,new page,1
32330,treatment,new page,1
24303,control,old page,2
31268,treatment,new page,1.5
19664,control,old page,2
17624,control,old page,2.5
16356,control,old page,2.5
24823,control,old page,2
32115,treatment,new page,1.5
28919,treatment,new page,1
22738,control,old page,2.5
14330,control,old page,2.5
29166,treatment,new page,1.5
18866,control,old page,2.5
13012,control,old page,2
30649,treatment,new page,1.5
17293,control,old page,2
14693,control,old page,2
30214,treatment,new page,1.5
14030,control,old page,2
13124,control,old page,2.5
19677,control,old page,2.5
25432,control,old page,2
23119,control,old page,2
23442,control,old page,2
26082,treatment,new page,1.5
20332,control,old page,2.5
26629,treatment,new page,1
17580,control,old page,2.5
12667,control,old page,2.5
19014,control,old page,2
31209,treatment,new page,1.5
24056,control,old page,2
25325,control,old page,2.5
30008,treatment,new page,1
25961,control,old page,2.5
28238,treatment,new page,1
34091,treatment,new page,1.5
16786,control,old page,2
17033,control,old page,2.5
12734,control,old page,2
34006,treatment,new page,1
30551,treatment,new page,1.5
22573,control,old page,2.5
20143,control,old page,2.5
24536,control,old page,2.5
24997,control,old page,2.5
16952,control,old page,2.5
22443,control,old page,2.5
25634,control,old page,2
24733,control,old page,2.5
18090,control,old page,2
28623,treatment,new page,1
26606,treatment,new page,1.5
20139,control,old page,2.5
17875,control,old page,2.5
30237,treatment,new page,1
21461,control,old page,2
33280,treatment,new page,1.5
32496,treatment,new page,1.5
17777,control,old page,2.5
20569,control,old page,2.5
26902,treatment,new page,1.5
26270,treatment,new page,1
33123,treatment,new page,1.5
12900,control,old page,2
29031,treatment,new page,1.5
26405,treatment,new page,1.5
